,deaths_avg_per_10m,eliminations_avg_per_10m,final_blows_avg_per_10m,healing_avg_per_10m,hero_damage_avg_per_10m,name,playerId,role,team,teamId,time_played_total,ultimates_earned_avg_per_10m,Fantasy Team,points10m,minutes_played,totalPoints
101,6.464362262928782,17.17673401292505,4.986793745687917,0.0,7162.07248756224,POKPO,8702,tank,ATL,7698,6497.160631120205,4.063313422412377,FreeAgent,15.750439494024764,108.28601051867008,170.55522567236423
46,3.5870452520661065,20.572759533908552,6.75208518035973,44.986652272622756,7351.911365101927,FURY,4659,tank,LDN,4410,5687.132045030594,3.798047913952348,Jyeran,17.683277784328826,94.78553408384323,167.6118929140568
98,3.903549244895469,13.715173022605702,1.7935226260330532,6701.843273148216,4110.018068038382,NUS,4660,support,LDN,4410,5687.132045030594,3.5870452520661065,MattyIce,17.669447852489448,94.78553408384323,167.48080516648292
124,4.43762157304847,18.960746721207098,6.185775526067564,7700.0896652436995,4951.999617250472,STELLAR,8752,offense,TOR,7695,4461.8495908379555,4.43762157304847,FreeAgent,22.13246264309772,74.36415984729926,164.58619898056983
116,3.446134778169278,16.943495992665618,4.3076684727115975,9264.305241340622,5834.3921513889345,SHU,8725,support,GZC,7699,4178.594549238682,4.882024269073144,FreeAgent,23.570445389062364,69.64324248731137,164.15222437644002
64,5.2444618590572825,22.994948151251158,8.606296384094001,0.0,10229.254880948827,IVY,8754,offense,TOR,7695,4461.8495908379555,4.43762157304847,FreeAgent,21.726728956574405,74.36415984729926,161.56899450856446
86,2.4888800565982376,21.268611392748575,6.222200141495594,18.173495447924676,7457.066479102608,MEKO,4649,tank,NYE,4403,5303.590249359608,3.507058261570244,Bobble,18.10954567092482,88.39317082266012,160.07601640108228
24,2.928012670980925,19.345798004695396,6.378884747494158,30.332668329101367,6492.800896051476,CHOIHYOBIN,5831,tank,SFS,4404,5737.6800881028175,3.24172831430031,FreeAgent,16.196032566728277,95.62800146838029,154.87942260730267
33,6.13150524719393,14.8611059381141,7.274667242433476,32.483985628226215,8552.465791378247,DIEM,8893,offense,SHD,4408,5773.459953606129,5.092267069703434,Jyeran,16.01550274606352,96.22433256010214,154.10810623544455
84,4.7506248497572106,18.43694882167679,4.9768450806980296,0.0,7825.855096044087,MANO,4093,tank,NYE,4403,5304.565356552601,4.9768450806980296,Cougum,17.044329506882484,88.40942260921001,150.68793304646016
25,3.7263516337288243,11.078342694869479,1.0071220631699527,5556.320573924205,3868.2596483145853,CLOSER,4663,support,DAL,4523,5957.569811463356,2.9206539831928624,Overdrive,14.96375156967353,99.29283019105593,148.57932436287405
29,3.763684636066956,20.582650353491168,5.527911809223342,0.5351488755408075,6960.863453051547,DACO,8701,tank,ATL,7698,5101.383844971657,1.9994574629105708,FreeAgent,17.25272377867267,85.02306408286094,146.68794394379853
136,6.540234599752405,14.170508299463545,3.8756945776310547,3991.6424620882326,6373.547987689349,YOUNGJIN,8894,offense,SHD,4408,4953.950734615326,3.9968100331820255,FreeAgent,17.450444599509353,82.5658455769221,144.08107140517237
38,4.5720949540499385,22.591528008246755,6.051302145066096,117.64830288969554,7392.321061267881,ENVY,4634,tank,TOR,7695,4461.8495908379555,3.765254668041126,MattyIce,18.805733368280954,74.36415984729926,139.84725622445345
16,5.030029846054353,18.583165820145247,7.125875615243666,13.27368987153232,9985.147792852213,BIRDRING,4656,offense,LDN,4410,4294.209112286568,4.331414589657915,Jyeran,19.29000439279637,71.57015187144279,138.05885439932348
122,2.998390581199992,21.39760551129085,5.45161923854544,0.0,8102.60233179362,SPACE,4637,tank,VAL,4405,4402.361747920513,3.8161334669818077,Cougum,18.801405087439043,73.37269579867522,137.95097760683296
51,6.541082518473489,15.403194317695634,4.536557230554194,0.0,6606.452320581504,GESTURE,4666,tank,LDN,4410,5687.132045030594,3.798047913952348,Dragonbeard,14.308049479429322,94.78553408384323,135.61961116057634
127,5.365179162332256,14.72570450938002,3.995346184715509,0.0,7840.499191682428,SUPER,4490,tank,SFS,4404,5256.115247368813,4.337804429119696,Jyeran,15.203351446372437,87.6019207894802,133.18427891397474
79,5.025613218163531,11.487115927230926,3.0153679308981185,8020.523255081551,5253.888515407922,KYO,8772,support,CDH,7692,4178.594549238682,4.3076684727115975,FreeAgent,19.017969734104938,69.64324248731137,132.44730778086185
99,6.444529692722146,12.083493173854023,4.329918387297692,0.0,6889.446174489039,OGE,5717,tank,DAL,4523,5958.541868984699,3.8264395050537736,PopeRonPaul,12.93119276141605,99.30903114974498,128.41842247468233
78,4.36225938958518,14.177343016151836,2.7264121184907375,6367.318479825675,3945.374818809262,KUKI,4647,tank,VAL,4405,4401.388887107372,3.1353739362643482,FreeAgent,17.401364806710856,73.35648145178953,127.6502894679308
135,6.051302145066096,19.90206038821738,5.647882002061689,0.0,7112.424159758092,YAKPUNG,8753,tank,TOR,7695,4461.8495908379555,3.3618345250367194,FreeAgent,17.06345435386678,74.36415984729926,126.8909447118044
69,6.319390013038141,12.638780026076281,4.1650525085933205,5617.612798088705,6234.880536866441,JINMU,8811,offense,CDH,7692,4177.618400752544,4.8831650100749275,FreeAgent,18.171883347993287,69.62697334587574,126.52532375150918
58,4.595920009482285,17.091077535262244,6.750257513927105,2770.5408932276755,6852.597090778459,HAPPY,8723,offense,GZC,7699,4177.618400752544,4.021430008296999,FreeAgent,18.168676751637257,69.62697334587574,126.50299719160795
96,5.785164986528557,16.429868561741102,4.628131989222846,0.0,6402.120899311196,NOSMITE,8714,tank,HZS,7693,5185.677516520023,3.933912190839419,Cougum,14.617055180181747,86.42795860866705,126.33222400933504
36,4.020490574530824,18.52297443265987,6.030735861796237,1877.8316417003487,6981.972334178645,EILEEN,8722,offense,GZC,7699,4178.594549238682,4.882024269073144,FreeAgent,18.12129119220893,69.64324248731137,126.20254766821861
32,4.306638286513068,13.173246523451736,4.4333041184693345,2801.099770992917,6490.981139227683,DDING,8895,offense,SHD,4408,4736.873320400715,4.4333041184693345,FreeAgent,15.878704171946469,78.94788867334525,125.35901692438125
23,4.1640795236212105,15.076839654490591,3.0153679308981185,5077.785823422049,5071.479006581915,CHARA,8721,support,GZC,7699,4178.594549238682,3.0153679308981185,FreeAgent,17.68768465724926,69.64324248731137,123.18277116239071
42,5.861786054755086,16.767434528718038,5.180183025132401,0.0,8263.400595878125,FATE,4636,tank,VAL,4405,4401.388887107372,4.498579995509717,Cougum,16.647117860237145,73.35648145178953,122.11739925402404
108,4.8831650100749275,19.101792539410745,5.457655011260213,0.0,7452.289181302654,RIO,8724,tank,GZC,7699,4177.618400752544,4.8831650100749275,FreeAgent,17.003185451008026,69.62697334587574,118.3880340192318
26,4.989183589049803,7.691658033118447,1.6630611963499344,5471.072053379661,2980.4702752768244,COMA,8892,support,SHD,4408,5772.487519443035,2.7024744440686437,FreeAgent,12.297371345215709,96.20812532405058,118.31070435369013
110,4.841041716052876,12.237077671133658,1.4792071910161566,5955.842130608926,3820.347567822475,ROKY,8687,support,TOR,7695,4461.8495908379555,2.958414382032313,FreeAgent,15.894728533998231,74.36415984729926,118.1998133431673
59,3.4469400071117136,19.245415039707066,6.750257513927105,0.0,7272.677090995298,HOTBA,4671,tank,GZC,7699,4177.618400752544,3.590562507408035,Overdrive,16.89538461084883,69.62697334587574,117.63744939678907
4,4.0070200307608355,17.79116893657811,5.449547241834737,76.86266850195628,9790.697802677372,AKM,3985,offense,DAL,4523,3743.430251121521,5.289266440604303,Overdrive,18.763144939468383,62.39050418535869,117.06420728763938
50,5.55814600108209,15.728370598806762,4.139044894422833,0.0,5957.442905310117,GEGURI,5210,tank,SHD,4408,5073.634264826775,3.311235915538266,Dragonbeard,13.821628204713498,84.56057108044624,116.87647742521763
56,4.677144522351392,14.226314588818818,3.507858391763544,8426.450678236808,6594.0151831496405,HAGOPEUN,4664,support,FLA,4407,3078.801591694355,4.092501457057468,Bobble,22.133623155795856,51.313359861572586,113.57505700337887
72,4.341197864307394,19.716273633729415,6.511796796461091,0.0,10254.880209280389,KARIV,4635,offense,VAL,4405,3317.0568239688873,4.160314619961253,MattyIce,20.113017026145094,55.28428039948145,111.19336729529499
